 Ubicación 	Unidad almacén      	Material          	Desc Material	Lote      	Ce. 	Alm.	UMB	       Stock total	HOJA
4500448016	1003234807	10301188155	AL1016001 - Lic Eth Routing 5XXX	I         	CH15	CM06	UN 	-1	3
9400011046	1009816291	10306182941	C888SRST-K9 - Cisco SRST888 G.SHDSL / FX	I         	CH28	CM03	UN 	0	3
9400014542	1009809562	10306183092	#N/A	I         	CH28	CM03	UN 	0	3
9400014542	1009816019	10306110253	#N/A	I         	CH28	CM03	UN 	0	3
9400014542	1009816019	10306182916	SL-880-AIS - Cisco 880 Ad IP Servi licen	I         	CH28	CM03	UN 	0	3
9400014542	1009816075	10306110251	#N/A	I         	CH28	CM03	UN 	0	3
9400014542	1009816075	10306182916	SL-880-AIS - Cisco 880 Ad IP Servi licen	I         	CH28	CM03	UN 	0	3
9400014542	1009818349	10306120178	C2911-CME-SRST/K9 - 2911 Voice Bundle w/	I         	CH28	CM03	UN 	0	3
9400014542	1009818349	10306182857	PVDM3-16U64 - PVDM3 16-channel to 64-cha	I         	CH28	CM03	UN 	0	3
9400014542	1009818349	10306182994	VWIC3-2MFT-T1/E1 - 2-Port 3rd Gen Multif	I         	CH28	CM03	UN 	0	3
9400014542	1009818349	10306184014	#N/A	I         	CH28	CM03	UN 	0	3
9400014571	1009816083	10301188893	CP-7962G-Cisco Unified IP Phone 7962	A         	CH28	CM03	UN 	0	3
9400014651	1009807512	10306120130	WS-C2960-24PC-L - Catalyst 2960 24 10/10	I         	CH28	CM03	UN 	-4	3
9400014651	1009816013	10306183913	#N/A	I         	CH28	CM03	UN 	0	3
9400014651	1009816015	10306183162	AIR-LAP1142N-A-K9 - 80211a/g/n Fixed Un	I         	CH28	CM03	UN 	0	3
9400014651	1009819391	10306120165	WS-C2960-48PST-L - Catalyst 2960 48 10/1	I         	CH28	CM03	UN 	0	4
9400014651	1009819406	10306110248	CISCO2901/K9 - Cisco 2091 w/2 GE, 4 EHW	I         	CH28	CM03	UN 	0	4
9400015133	1009808365	10306120165	WS-C2960-48PST-L - Catalyst 2960 48 10/1	I         	CH28	CM03	UN 	0	4
9400015133	1009809543	10306110251	#N/A	I         	CH28	CM03	UN 	0	4
9400017174	1009808372	10301189153	CISCO888-SEC-K9 - Cisco888 GSHDSL Sec R	I         	CH28	CM03	UN 	0	4
9400017174	1009809622	10306180172	CAB-V35MT - V35 Cable DTE Male 10 Fee	I         	CH28	CM03	UN 	0	4
9400024590	1009819396	10301188893	CP-7962G-Cisco Unified IP Phone 7962	I         	CH28	CM03	UN 	0	4
 01-01-01  	1001553759	10306110017	CISCO1812K9 - Dual Ethernet Security Rou	N         	CH15	CM02	UN 	1	4
 01-01-01  	1006632132	10306110039	CISCO828 - Cisco 828 GSHDSL Router 1E 1	N         	CH15	CM02	UN 	1	4
 01-01-01  	1006866358	10306120001	WS-C2950-24 - 24 port 10100 Catalyst Sw	N         	CH15	CM02	UN 	1	4
